index,job,sector,sex,2015,2016,2017
110,Commissioned armed forces officers,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,56700,57100,60260
,,,Females,47600,48600,51660
210,Non-commissioned armed forces officers,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,36500,35900,40420
,,,Females,32200,33700,36820
310,"Armed forces occupations, other ranks",private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,37100,37400,41490
,,,Females,35500,34500,37940
1111,Legislators,private sector and public enterprises,Males,48700,48800,48860
,,,Females,45500,46900,47480
,,local government,Males,67000,68400,69070
,,,Females,64800,66900,67580
,,central government,Males,,,
,,,Females,,,
1112,Senior government officials,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,75800,78400,80580
,,,Females,,75000,77390
,,central government,Males,107000,109500,113660
,,,Females,105200,108200,110310
1114,Senior officials of special-interest organisations,private sector and public enterprises,Males,60000,61900,63350
,,,Females,53700,55100,57510
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
1120,Managing directors and chief executives,private sector and public enterprises,Males,76000,77500,79160
,,,Females,60100,62000,64420
,,local government,Males,71000,73500,75380
,,,Females,64500,66300,69310
,,central government,Males,91800,92300,97690
,,,Females,86400,92300,95250
1211,Finance managers,private sector and public enterprises,Males,87800,89400,93200
,,,Females,65000,66700,68930
,,local government,Males,56800,58500,61140
,,,Females,53700,54900,56470
,,central government,Males,,,
,,,Females,,,
1212,Human resource managers,private sector and public enterprises,Males,81600,81500,82720
,,,Females,70400,72700,74670
,,local government,Males,,,
,,,Females,,57000,59320
,,central government,Males,,,
,,,Females,,,
1213,Policy and planning managers,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,52420
,,central government,Males,,,
,,,Females,,,
1219,Business services and administration managers not elsewhere classified,private sector and public enterprises,Males,74900,76100,78740
,,,Females,59500,61000,62170
,,local government,Males,55000,56600,57730
,,,Females,50800,52100,53200
,,central government,Males,64700,66100,68230
,,,Females,59600,60700,63100
1221,Sales and marketing managers,private sector and public enterprises,Males,70300,71500,73770
,,,Females,61400,62400,64810
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
1222,Advertising and public relations managers,private sector and public enterprises,Males,63900,64700,65360
,,,Females,56900,58700,61410
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
1223,Research and development managers,private sector and public enterprises,Males,79800,80600,80820
,,,Females,67200,69400,71020
,,local government,Males,,,
,,,Females,,,
,,central government,Males,72000,73700,75960
,,,Females,67600,67900,69900
1311,Agricultural and forestry production managers,private sector and public enterprises,Males,59900,61200,64490
,,,Females,49000,50700,52710
,,local government,Males,45900,46000,46780
,,,Females,45700,45900,46810
,,central government,Males,,,
,,,Females,,,
1312,Aquaculture and fisheries production managers,private sector and public enterprises,Males,57600,58400,64960
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
1321,Manufacturing managers,private sector and public enterprises,Males,65800,65900,67840
,,,Females,64700,66000,68020
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
1322,Mining managers,private sector and public enterprises,Males,106100,104900,105270
,,,Females,100100,100400,101040
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
1323,Construction managers,private sector and public enterprises,Males,56700,58100,59230
,,,Females,56600,57200,57490
,,local government,Males,48000,49300,50620
,,,Females,48900,50400,52020
,,central government,Males,43000,45600,47400
,,,Females,,,
1324,"Supply, distribution and related managers",private sector and public enterprises,Males,59700,61100,62670
,,,Females,59500,60400,61820
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
1330,Information and communications technology service managers,private sector and public enterprises,Males,70400,71900,74170
,,,Females,67000,70400,71460
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
1341,Child care services managers,private sector and public enterprises,Males,47900,48500,50680
,,,Females,46700,47300,49060
,,local government,Males,55300,56600,57490
,,,Females,47000,48300,49780
,,central government,Males,,,
,,,Females,,,
1342,Health services managers,private sector and public enterprises,Males,62700,65500,66950
,,,Females,53700,54100,55520
,,local government,Males,49700,50900,52200
,,,Females,46700,48100,49680
,,central government,Males,72800,73400,75850
,,,Females,57100,58200,60580
1343,Aged care services managers,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,56200,57100,58680
,,,Females,53000,54400,55510
,,central government,Males,50500,51500,53320
,,,Females,47700,48500,50570
1344,Social welfare managers,private sector and public enterprises,Males,54900,55600,56460
,,,Females,47200,50000,49530
,,local government,Males,,,
,,,Females,47100,47000,49050
,,central government,Males,,,
,,,Females,,,
1345,Education managers,private sector and public enterprises,Males,52700,53900,55390
,,,Females,49500,50300,51650
,,local government,Males,54800,55900,57620
,,,Females,52500,53800,55380
,,central government,Males,64200,65100,66850
,,,Females,58200,59700,62160
1346,Financial and insurance services branch managers,private sector and public enterprises,Males,89600,91300,94370
,,,Females,73800,75100,77150
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
1349,Professional services managers not elsewhere classified,private sector and public enterprises,Males,69000,69600,70830
,,,Females,62900,63100,65630
,,local government,Males,55300,57600,58940
,,,Females,50300,52300,52770
,,central government,Males,59600,61300,62640
,,,Females,55800,57400,61000
1411,Hotel managers,private sector and public enterprises,Males,46700,50400,50300
,,,Females,42200,45000,44530
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
1412,Restaurant managers,private sector and public enterprises,Males,39300,40900,41110
,,,Females,35600,37500,37150
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
1420,Retail and wholesale trade managers,private sector and public enterprises,Males,49800,51100,52310
,,,Females,38600,39700,40680
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
1431,"Sports, recreation and cultural centre managers",private sector and public enterprises,Males,49600,50600,52810
,,,Females,46400,47900,48420
,,local government,Males,48400,49100,51140
,,,Females,45100,46300,47360
,,central government,Males,,,
,,,Females,,,
1439,Services managers not elsewhere classified,private sector and public enterprises,Males,58200,58600,59300
,,,Females,42000,43700,44250
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2111,Physicists and astronomers,private sector and public enterprises,Males,62300,60400,65100
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2112,Meteorologists,private sector and public enterprises,Males,,,
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,48200,,50880
,,,Females,,,
2113,Chemists,private sector and public enterprises,Males,63200,65200,66870
,,,Females,58000,61900,62560
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2114,Geologists and geophysicists,private sector and public enterprises,Males,91000,86800,86160
,,,Females,78300,77000,77350
,,local government,Males,,,
,,,Females,,,
,,central government,Males,56000,,58040
,,,Females,,,
2120,"Mathematicians, actuaries and statisticians",private sector and public enterprises,Males,66400,66600,67240
,,,Females,56600,56600,59000
,,local government,Males,,,
,,,Females,,,
,,central government,Males,45700,46000,47090
,,,Females,42100,42700,44540
2131,"Biologists, botanists, zoologists and related professionals",private sector and public enterprises,Males,54700,56600,58360
,,,Females,50600,52300,53650
,,local government,Males,,,
,,,Females,,,
,,central government,Males,53200,54000,55320
,,,Females,47500,48500,50130
2132,"Farming, forestry and fisheries advisers",private sector and public enterprises,Males,53200,53700,55180
,,,Females,48600,49200,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2133,Environmental protection professionals,private sector and public enterprises,Males,60300,61000,61350
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
,,,Females,,,
2141,Industrial and production engineers,private sector and public enterprises,Males,69700,71900,69920
,,,Females,,,
,,local government,Males,,,
,,,Females,,,
,,central government,Males,47100,47900,48590
,,,Females,,,
2142,Civil engineers,private sector and public enterprises,Males,62200,63800,64850
,,,Females,56400,58200,59680
,,local government,Males,47400,48300,50470
,,,Females,47100,47500,49560
,,central government,Males,50400,50900,53060
,,,Females,48500,48800,51340
2144,Mechanical engineers,private sector and public enterprises,Males,64900,65300,66830
,,,Females,55600,56300,58870
,,local government,Males,,,
,,,Females,,,
,,central government,Males,49200,49700,51660
,,,Females,,,
2145,Chemical engineers,private sector and public enterprises,Males,65300,68100,68710
,,,Females,57500,59500,60940
,,local government,Males,,,
,,,Females,,,
,,central government,Males,,,
